Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Gaziantepspor,2011-2012,32,25.7,10,1590000.0,50850000.0
Kayserispor,2011-2012,32,23.9,12,1490000.0,47750000.0
Eskişehirspor,2011-2012,29,27.1,10,1380000.0,40150000.0
Sivasspor,2011-2012,32,26.5,14,1190000.0,38230000.0
İstanbul Büyükşehir Belediyespor,2011-2012,31,27.5,10,1210000.0,37650000.0
Orduspor,2011-2012,34,26.9,11,999000.0,33950000.0
Kardemir DÇ Karabükspor,2011-2012,47,26.7,12,662000.0,31100000.0
Manisaspor,2011-2012,32,26.0,11,969000.0,31000000.0
Gençlerbirliği SK,2011-2012,32,25.6,9,963000.0,30830000.0
Antalyaspor,2011-2012,33,28.6,7,929000.0,30650000.0
Samsunspor,2011-2012,40,25.8,12,695000.0,27800000.0
Mersin İdmanyurdu,2011-2012,32,28.1,16,755000.0,24150000.0
Ankaragücü,2011-2012,46,23.7,6,474000.0,21830000.0
Galatasaray SK,2012-2013,33,28.6,12,4610000.0,152100000.0
Fenerbahçe SK,2012-2013,38,26.2,11,3740000.0,142050000.0
Beşiktaş JK,2012-2013,34,24.9,10,2740000.0,93200000.0
Trabzonspor,2012-2013,32,26.6,13,2420000.0,77350000.0
Bursaspor,2012-2013,43,24.7,13,1580000.0,68100000.0
Kasımpaşa,2012-2013,31,27.6,12,1460000.0,45300000.0
Eskişehirspor,2012-2013,34,25.4,12,1330000.0,45200000.0
Gaziantepspor,2012-2013,38,25.4,13,1190000.0,45200000.0
Gençlerbirliği SK,2012-2013,35,24.9,11,1280000.0,44950000.0
Kayserispor,2012-2013,33,24.5,14,1290000.0,42600000.0
Sivasspor,2012-2013,35,27.1,13,1170000.0,41080000.0
İstanbul Büyükşehir Belediyespor,2012-2013,32,27.5,13,1150000.0,36950000.0
Antalyaspor,2012-2013,34,25.9,9,934000.0,31750000.0
Kardemir DÇ Karabükspor,2012-2013,36,27.7,10,858000.0,30900000.0
Mersin İdmanyurdu,2012-2013,53,27.1,18,548000.0,29050000.0
Orduspor,2012-2013,37,25.7,10,769000.0,28450000.0
Elazığspor,2012-2013,43,28.0,13,388000.0,16680000.0
Akhisar Belediyespor,2012-2013,36,26.8,9,370000.0,13330000.0
Galatasaray SK,2013-2014,45,26.7,16,4080000.0,183800000.0
Fenerbahçe SK,2013-2014,39,26.1,12,3770000.0,146950000.0
Beşiktaş JK,2013-2014,47,25.1,14,2350000.0,110300000.0
Trabzonspor,2013-2014,35,26.9,11,2720000.0,95300000.0
Bursaspor,2013-2014,42,25.0,12,1440000.0,60280000.0
Eskişehirspor,2013-2014,47,25.0,14,1110000.0,52280000.0
Kasımpaşa,2013-2014,33,26.5,9,1500000.0,49530000.0
Antalyaspor,2013-2014,49,26.3,14,939000.0,46000000.0
Gençlerbirliği SK,2013-2014,46,24.2,16,997000.0,45880000.0
Kayserispor,2013-2014,36,24.4,16,1250000.0,44850000.0
Sivasspor,2013-2014,35,27.0,13,1240000.0,43330000.0
Kardemir Karabükspor,2013-2014,34,26.4,10,1220000.0,41430000.0
Gaziantepspor,2013-2014,36,26.9,12,1050000.0,37780000.0
Kayseri Erciyesspor,2013-2014,40,27.4,14,842000.0,33680000.0
Çaykur Rizespor,2013-2014,44,26.1,13,702000.0,30900000.0
Konyaspor,2013-2014,41,26.1,13,679000.0,27850000.0
Elazığspor,2013-2014,45,26.2,15,511000.0,23000000.0
Akhisar Belediyespor,2013-2014,39,26.6,10,493000.0,19230000.0
Galatasaray SK,2014-2015,34,26.9,10,4179999.9999999995,142200000.0
Beşiktaş JK,2014-2015,38,24.6,11,3100000.0,117930000.0
Fenerbahçe SK,2014-2015,37,26.3,9,2850000.0,105330000.0
Trabzonspor,2014-2015,37,26.0,10,2620000.0,96800000.0
Bursaspor,2014-2015,33,25.3,11,2450000.0,80700000.0
Eskişehirspor,2014-2015,38,25.2,9,1460000.0,55630000.0
Kasımpaşa,2014-2015,32,25.8,10,1600000.0,51250000.0
İstanbul Başakşehir FK,2014-2015,33,28.2,11,1430000.0,47200000.0
Gençlerbirliği SK,2014-2015,35,25.8,13,1330000.0,46400000.0
Çaykur Rizespor,2014-2015,33,26.3,11,1130000.0,37150000.0
Sivasspor,2014-2015,29,28.3,8,1240000.0,35900000.0
Gaziantepspor,2014-2015,34,25.6,14,993000.0,33750000.0
Kardemir Karabükspor,2014-2015,33,25.9,10,995000.0,32830000.0
Konyaspor,2014-2015,30,27.4,12,1090000.0,32830000.0
Akhisar Belediyespor,2014-2015,40,27.6,13,778000.0,31100000.0
Kayseri Erciyesspor,2014-2015,40,25.7,12,742000.0,29680000.0
Mersin İdmanyurdu,2014-2015,33,27.0,14,733000.0,24200000.0
Balıkesirspor,2014-2015,35,26.0,11,672000.0,23530000.0
Fenerbahçe SK,2015-2016,40,25.9,14,4220000.0,168800000.0
Beşiktaş JK,2015-2016,36,26.0,15,3550000.0,127950000.0
Galatasaray SK,2015-2016,34,27.0,12,3450000.0,117230000.0
Trabzonspor,2015-2016,50,25.0,14,2150000.0,107300000.0
Bursaspor,2015-2016,42,25.4,17,1930000.0,81000000.0
Kasımpaşa,2015-2016,33,26.6,14,1690000.0,55650000.0
İstanbul Başakşehir FK,2015-2016,30,27.7,9,1800000.0,54100000.0
Antalyaspor,2015-2016,48,26.6,19,991000.0,47550000.0
Osmanlıspor FK,2015-2016,38,28.1,17,1170000.0,44600000.0
Kayserispor,2015-2016,32,25.9,14,1230000.0,39350000.0
Eskişehirspor,2015-2016,47,25.4,19,821000.0,38580000.0
Gaziantepspor,2015-2016,40,25.0,14,958000.0,38300000.0
Gençlerbirliği SK,2015-2016,36,26.8,14,1040000.0,37350000.0
Çaykur Rizespor,2015-2016,29,25.8,11,1260000.0,36650000.0
Konyaspor,2015-2016,33,27.4,15,1090000.0,36050000.0
Akhisar Belediyespor,2015-2016,34,28.4,12,1020000.0,34750000.0
Sivasspor,2015-2016,34,28.4,13,943000.0,32049999.999999996
Mersin İdmanyurdu,2015-2016,35,26.5,11,619000.0,21680000.0
Beşiktaş JK,2016-2017,45,26.8,22,3040000.0,136800000.0
Fenerbahçe SK,2016-2017,38,26.2,14,2740000.0,103950000.0
Galatasaray SK,2016-2017,39,26.5,14,2270000.0,88350000.0
İstanbul Başakşehir FK,2016-2017,38,27.9,14,1580000.0,60000000.0
Trabzonspor,2016-2017,32,26.4,14,1870000.0,59850000.0
Osmanlıspor FK,2016-2017,43,26.5,20,1120000.0,48300000.0
Bursaspor,2016-2017,38,26.0,12,939000.0,35700000.0
Gençlerbirliği SK,2016-2017,47,25.5,19,740000.0,34780000.0
Kayserispor,2016-2017,36,26.4,18,954000.0,34350000.0
Akhisar Belediyespor,2016-2017,38,28.2,16,874000.0,33200000.000000004
Kasımpaşa,2016-2017,36,24.8,13,904000.0,32549999.999999996
Konyaspor,2016-2017,30,26.8,13,1060000.0,31800000.0
Alanyaspor,2016-2017,37,27.0,20,859000.0,31780000.0
Antalyaspor,2016-2017,37,26.8,17,784000.0,29000000.0
Çaykur Rizespor,2016-2017,40,24.1,16,719000.0,28750000.0
Gaziantepspor,2016-2017,40,26.2,20,617000.0,24680000.0
Kardemir Karabükspor,2016-2017,41,27.3,20,551000.0,22580000.0
Adanaspor,2016-2017,34,25.2,14,467000.0,15880000.0
Beşiktaş JK,2017-2018,40,27.4,21,3060000.0,122550000.0
Galatasaray SK,2017-2018,41,25.9,18,2340000.0,96050000.0
Fenerbahçe SK,2017-2018,35,27.3,16,2140000.0,74930000.0
Trabzonspor,2017-2018,34,26.5,14,1900000.0,64550000.0
İstanbul Başakşehir FK,2017-2018,33,29.2,14,1570000.0,51800000.0
Bursaspor,2017-2018,44,25.6,21,725000.0,31900000.0
Antalyaspor,2017-2018,36,28.1,17,838000.0,30150000.0
Alanyaspor,2017-2018,38,27.3,20,768000.0,29180000.0
Konyaspor,2017-2018,35,27.6,18,751000.0,26280000.0
Osmanlıspor FK,2017-2018,43,27.5,19,593000.0,25500000.0
Göztepe,2017-2018,37,26.6,18,665000.0,24600000.0
Kasımpaşa,2017-2018,32,25.7,15,744000.0,23800000.0
Sivasspor,2017-2018,35,27.7,16,655000.0,22930000.0
Kayserispor,2017-2018,33,27.0,17,686000.0,22650000.0
Yeni Malatyaspor,2017-2018,36,26.9,16,520000.0,18730000.0
Akhisarspor,2017-2018,32,28.6,12,581000.0,18600000.0
Gençlerbirliği SK,2017-2018,35,27.0,18,483000.0,16900000.0
Kardemir Karabükspor,2017-2018,44,27.8,20,335000.0,14750000.0
Galatasaray SK,2018-2019,43,25.9,19,3020000.0,129800000.00000001
Fenerbahçe SK,2018-2019,47,26.6,20,2200000.0,103500000.0
Beşiktaş JK,2018-2019,42,27.1,18,1850000.0,77750000.0
Trabzonspor,2018-2019,38,25.4,13,1590000.0,60300000.0
İstanbul Başakşehir FK,2018-2019,42,28.7,22,1300000.0,54630000.0
Alanyaspor,2018-2019,34,28.7,17,1160000.0,39450000.0
Kasımpaşa,2018-2019,35,24.7,16,981000.0,34350000.0
Çaykur Rizespor,2018-2019,45,26.3,21,656000.0,29500000.0
Bursaspor,2018-2019,38,25.2,14,741000.0,28150000.0
Yeni Malatyaspor,2018-2019,47,25.6,15,527000.0,24750000.0
Sivasspor,2018-2019,30,28.8,14,770000.0,23100000.0
Konyaspor,2018-2019,41,27.0,18,549000.0,22530000.0
Antalyaspor,2018-2019,44,26.2,14,482000.0,21230000.0
Ankaragücü,2018-2019,50,28.2,26,422000.0,21080000.0
Kayserispor,2018-2019,34,26.1,13,570000.0,19380000.0
Göztepe,2018-2019,37,26.6,17,520000.0,19250000.0
Büyükşehir Belediye Erzurumspor,2018-2019,35,27.9,17,458000.0,16030000.000000002
Akhisarspor,2018-2019,39,28.3,16,302000.0,11780000.0
Galatasaray SK,2019-2020,42,26.6,21,2500000.0,105130000.0
Trabzonspor,2019-2020,42,24.8,17,2069999.9999999998,87030000.0
Fenerbahçe SK,2019-2020,39,26.3,14,1950000.0,75900000.0
Beşiktaş JK,2019-2020,37,26.5,17,1710000.0,63250000.0
İstanbul Başakşehir FK,2019-2020,38,28.8,20,1420000.0,53850000.0
Kasımpaşa,2019-2020,48,25.7,20,625000.0,30000000.0
Sivasspor,2019-2020,31,28.8,15,881000.0,27300000.0
Çaykur Rizespor,2019-2020,37,25.9,19,613000.0,22680000.0
Yeni Malatyaspor,2019-2020,37,27.2,16,603000.0,22330000.0
Kayserispor,2019-2020,58,25.5,20,372000.0,21580000.0
Alanyaspor,2019-2020,34,28.5,13,626000.0,21300000.0
Konyaspor,2019-2020,38,27.2,18,532000.0,20230000.0
Gaziantep FK,2019-2020,33,27.7,15,609000.0,20100000.0
Antalyaspor,2019-2020,49,26.1,16,391000.0,19150000.0
Göztepe,2019-2020,37,27.5,15,466000.0,17230000.0
Denizlispor,2019-2020,34,27.8,14,469000.0,15950000.0
Gençlerbirliği SK,2019-2020,35,26.9,16,393000.0,13750000.0
Ankaragücü,2019-2020,46,26.8,18,258000.0,11850000.0
Fenerbahçe SK,2020-2021,44,27.0,20,2620000.0,115450000.0
Galatasaray SK,2020-2021,36,27.2,20,2990000.0,107630000.0
Beşiktaş JK,2020-2021,35,26.2,18,2990000.0,104500000.0
Trabzonspor,2020-2021,43,24.6,17,2310000.0,99130000.0
İstanbul Başakşehir FK,2020-2021,44,26.9,17,1570000.0,69230000.0
Alanyaspor,2020-2021,32,27.0,12,1550000.0,49680000.0
Kasımpaşa,2020-2021,39,26.1,19,997000.0,38880000.0
Fatih Karagümrük,2020-2021,44,27.1,23,874000.0,38450000.0
Göztepe,2020-2021,42,26.0,17,893000.0,37530000.0
Hatayspor,2020-2021,39,26.3,17,927000.0,36150000.0
Sivasspor,2020-2021,33,29.1,15,930000.0,30700000.0
Çaykur Rizespor,2020-2021,42,27.7,21,731000.0,30700000.0
Antalyaspor,2020-2021,37,26.2,12,817000.0,30230000.0
Konyaspor,2020-2021,43,26.4,20,695000.0,29880000.0
Yeni Malatyaspor,2020-2021,40,26.4,19,712000.0,28480000.0
Gaziantep FK,2020-2021,35,28.0,16,785000.0,27480000.0
Kayserispor,2020-2021,47,26.0,23,490000.0,23030000.0
Ankaragücü,2020-2021,42,25.4,18,493000.0,20700000.0
Gençlerbirliği SK,2020-2021,43,25.5,14,377000.0,16230000.0
Büyükşehir Belediye Erzurumspor,2020-2021,47,28.4,24,330000.0,15530000.0
Denizlispor,2020-2021,45,25.9,18,315000.0,14180000.0
Fenerbahçe SK,2021-2022,44,24.6,17,3460000.0,152130000.0
Galatasaray SK,2021-2022,46,26.9,21,2840000.0,130630000.0
Trabzonspor,2021-2022,41,26.2,16,3020000.0,123880000.0
Beşiktaş JK,2021-2022,41,26.4,17,2480000.0,101530000.0
İstanbul Başakşehir FK,2021-2022,42,27.1,14,1500000.0,62880000.0
Alanyaspor,2021-2022,41,25.4,16,1280000.0,52280000.0
Konyaspor,2021-2022,33,27.5,15,1420000.0,46900000.0
Adana Demirspor,2021-2022,41,27.0,18,1120000.0,46000000.0
Kasımpaşa,2021-2022,39,26.7,18,1110000.0,43150000.0
Kayserispor,2021-2022,47,26.1,20,870000.0,40900000.0
Antalyaspor,2021-2022,41,26.5,18,918000.0,37650000.0
Hatayspor,2021-2022,35,26.2,15,1030000.0,36180000.0
Fatih Karagümrük,2021-2022,40,27.2,19,904000.0,36150000.0
Giresunspor,2021-2022,43,24.6,15,737000.0,31700000.0
Sivasspor,2021-2022,35,28.1,14,874000.0,30580000.0
Gaziantep FK,2021-2022,35,27.2,16,865000.0,30280000.0
Göztepe,2021-2022,49,24.7,16,504000.0,24680000.0
Çaykur Rizespor,2021-2022,43,26.7,19,558000.0,24000000.0
Yeni Malatyaspor,2021-2022,49,24.7,18,416000.0,20380000.0
Altay SK,2021-2022,36,27.0,13,396000.0,14250000.0
Galatasaray SK,2022-2023,42,26.4,21,4830000.0,202650000.0
Fenerbahçe SK,2022-2023,43,26.1,21,4490000.0,193230000.0
Trabzonspor,2022-2023,47,25.5,18,2880000.0,135300000.0
Beşiktaş JK,2022-2023,44,26.8,20,2900000.0,127700000.0
İstanbul Başakşehir FK,2022-2023,43,27.1,23,1750000.0,75100000.0
Adana Demirspor,2022-2023,44,27.8,23,1310000.0,57650000.0
Konyaspor,2022-2023,38,26.9,20,1280000.0,48580000.0
Alanyaspor,2022-2023,42,25.8,20,1030000.0,43280000.0
Antalyaspor,2022-2023,43,26.4,18,967000.0,41600000.0
Ankaragücü,2022-2023,51,26.5,21,794000.0,40480000.0
Fatih Karagümrük,2022-2023,40,26.9,21,1010000.0,40330000.0
Kasımpaşa,2022-2023,47,26.4,19,835000.0,39230000.0
Kayserispor,2022-2023,36,26.1,15,863000.0,31050000.0
Sivasspor,2022-2023,38,27.9,17,761000.0,28930000.0
Gaziantep FK,2022-2023,30,27.1,16,803000.0,24100000.0
Hatayspor,2022-2023,34,27.5,15,677000.0,23030000.0
İstanbulspor,2022-2023,45,25.8,20,409000.0,18430000.0
Giresunspor,2022-2023,36,25.2,11,510000.0,18380000.0
Ümraniyespor,2022-2023,42,26.5,15,287000.0,12050000.0
Galatasaray SK,2023-2024,46,26.1,23,5560000.0,255650000.0
Fenerbahçe SK,2023-2024,55,25.0,19,3970000.0,218300000.0
Beşiktaş JK,2023-2024,49,26.1,21,3000000.0,146880000.0
Trabzonspor,2023-2024,40,25.7,18,2960000.0,118380000.0
İstanbul Başakşehir FK,2023-2024,43,27.0,21,1260000.0,54150000.0
Adana Demirspor,2023-2024,52,26.2,29,1030000.0,53300000.0
Samsunspor,2023-2024,41,26.4,18,851000.0,34880000.0
Çaykur Rizespor,2023-2024,42,24.8,19,813000.0,34150000.0
Kayserispor,2023-2024,39,25.8,17,873000.0,34050000.0
Ankaragücü,2023-2024,43,26.3,21,776000.0,33380000.000000004
Alanyaspor,2023-2024,37,26.4,16,879000.0,32530000.0
Fatih Karagümrük,2023-2024,45,27.1,24,718000.0,32330000.0
Konyaspor,2023-2024,42,26.8,21,768000.0,32280000.0
Antalyaspor,2023-2024,39,26.3,16,807000.0,31480000.0
Sivasspor,2023-2024,47,26.8,17,646000.0,30380000.0
Kasımpaşa,2023-2024,43,24.4,17,674000.0,28980000.0
Hatayspor,2023-2024,39,25.5,16,741000.0,28900000.0
Gaziantep FK,2023-2024,38,27.4,22,632000.0,24030000.0
Pendikspor,2023-2024,42,28.5,17,557000.0,23380000.0
İstanbulspor,2023-2024,44,24.7,16,294000.0,12930000.0
Galatasaray SK,2024-2025,49,25.7,22,6480000.0,317280000.0
Fenerbahçe SK,2024-2025,44,27.2,19,6130000.0,269830000.0
Beşiktaş JK,2024-2025,40,26.0,21,3430000.0,137380000.0
Trabzonspor,2024-2025,49,24.9,18,2400000.0,117680000.0
İstanbul Başakşehir FK,2024-2025,39,26.8,19,1670000.0,65180000.00000001
Göztepe,2024-2025,36,24.9,16,1490000.0,53600000.0
Çaykur Rizespor,2024-2025,36,25.8,16,1130000.0,40730000.0
Eyüpspor,2024-2025,44,27.4,12,806000.0,35480000.0
Kasımpaşa,2024-2025,49,23.8,17,720000.0,35300000.0
Samsunspor,2024-2025,37,25.2,15,905000.0,33479999.999999996
Alanyaspor,2024-2025,44,24.5,16,603000.0,26530000.0
Gaziantep FK,2024-2025,43,25.7,16,560000.0,24060000.0
Konyaspor,2024-2025,44,26.0,17,536000.0,23580000.0
Kayserispor,2024-2025,41,25.3,15,546000.0,22380000.0
Antalyaspor,2024-2025,40,25.4,15,552000.0,22080000.0
Bodrum FK,2024-2025,43,26.4,15,477000.0,20500000.0
Adana Demirspor,2024-2025,44,22.4,11,453000.0,19950000.0
Hatayspor,2024-2025,34,25.2,14,521000.0,17700000.0
Sivasspor,2024-2025,45,25.8,16,382000.0,17200000.0
